Data;À vista R$
09/05/2018;1166,99
10/05/2018;1166,36
11/05/2018;1156,15
14/05/2018;1147,07
15/05/2018;1165,86
16/05/2018;1165,86
17/05/2018;1159,79
18/05/2018;1161,33
21/05/2018;1158,08
22/05/2018;1174,28
23/05/2018;1174,28
24/05/2018;1173,67
25/05/2018;1177,39
28/05/2018;1177,39
29/05/2018;1198,62
30/05/2018;1198,62
01/06/2018;1199,07
04/06/2018;1199,07
05/06/2018;1221,42
06/06/2018;1222,93
07/06/2018;1215,23
08/06/2018;1214,54
11/06/2018;1213,35
12/06/2018;1193,22
13/06/2018;1177,85
14/06/2018;1171,35
15/06/2018;1168,28
18/06/2018;1169,30
19/06/2018;1159,23
20/06/2018;1147,31
21/06/2018;1140,95
22/06/2018;1140,95
25/06/2018;1144,66
26/06/2018;1141,70
27/06/2018;1143,22
28/06/2018;1145,20
29/06/2018;1151,46
02/07/2018;1147,54
03/07/2018;1165,66
04/07/2018;1186,80
05/07/2018;1193,83
06/07/2018;1180,51
09/07/2018;1189,51
10/07/2018;1179,29
11/07/2018;1178,13
12/07/2018;1173,06
13/07/2018;1167,43
16/07/2018;1164,04
17/07/2018;1156,38
18/07/2018;1161,03
19/07/2018;1153,37
20/07/2018;1157,18
23/07/2018;1158,32
24/07/2018;1153,52
25/07/2018;1143,05
26/07/2018;1150,24
27/07/2018;1143,26
30/07/2018;1137,71
31/07/2018;1148,99
01/08/2018;1151,12
02/08/2018;1153,19
03/08/2018;1162,55
06/08/2018;1163,65
07/08/2018;1164,19
08/08/2018;1167,85
09/08/2018;1177,27
10/08/2018;1176,15
13/08/2018;1187,25
14/08/2018;1192,06
15/08/2018;1191,99
16/08/2018;1177,43
17/08/2018;1175,71
20/08/2018;1166,04
21/08/2018;1166,70
22/08/2018;1180,24
23/08/2018;1164,84
24/08/2018;1159,44
27/08/2018;1158,72
28/08/2018;1151,04
29/08/2018;1146,00
30/08/2018;1151,11
31/08/2018;1146,48
03/09/2018;1150,92
04/09/2018;1148,71
05/09/2018;1148,81
06/09/2018;1139,64
10/09/2018;1147,72
11/09/2018;1135,68
12/09/2018;1135,68
13/09/2018;1136,79
14/09/2018;1136,79
17/09/2018;1146,77
18/09/2018;1160,49
19/09/2018;1160,35
20/09/2018;1157,05
21/09/2018;1156,65
24/09/2018;1162,05
25/09/2018;1158,19
26/09/2018;1151,30
27/09/2018;1146,37
28/09/2018;1143,82
01/10/2018;1144,89
02/10/2018;1150,05
03/10/2018;1160,47
04/10/2018;1155,99
05/10/2018;1158,60
08/10/2018;1158,60
09/10/2018;1164,70
10/10/2018;1165,64
11/10/2018;1169,41
15/10/2018;1171,67
16/10/2018;1200,97
17/10/2018;1200,97
18/10/2018;1200,88
19/10/2018;1200,88
22/10/2018;1205,29
23/10/2018;1227,80
24/10/2018;1221,31
25/10/2018;1224,06
26/10/2018;1218,03
29/10/2018;1221,22
30/10/2018;1205,86
31/10/2018;1209,11
01/11/2018;1212,73
05/11/2018;1215,20
06/11/2018;1216,63
07/11/2018;1214,57
08/11/2018;1224,11
09/11/2018;1224,11
12/11/2018;1219,42
13/11/2018;1208,38
14/11/2018;1201,75
16/11/2018;1208,19
19/11/2018;1219,36
20/11/2018;1261,34
